US_Coastline ,RSL_contribution,Offset_1992_2000,Offset_2000_2005,RSL2005,RSL2020 ,RSL2030,RSL2040 ,RSL2050,RSL2060,RSL2070,RSL2080,RSL2090,RSL2100,RSL2110,RSL2120,RSL2130,RSL2140,RSL2150,Scenario
1,-1.036,2,2,0,-14,-22,-30,-38,-46,-55,-64,-71,-77,-85,-92,-100,-108,-116,2
1,-1.205,2,2,0,-19,-31,-42,-53,-64,-75,-87,-97,-106,-117,-127,-138,-148,-159,2
1,-0.241,2,2,0,-8,-11,-13,-16,-18,-21,-24,-25,-25,-27,-29,-31,-33,-34,2
1,-0.934,2,2,0,-10,-17,-23,-30,-37,-43,-51,-56,-60,-66,-73,-79,-85,-91,2
1,-0.048,2,2,0,4,7,11,13,16,19,21,24,30,33,37,40,43,46,2
1,-0.296,2,2,0,2,3,3,3,4,4,5,6,8,9,10,11,11,12,2
1,-0.555,2,2,0,-3,-5,-7,-9,-11,-13,-16,-18,-17,-19,-21,-22,-24,-26,2
1,0.12,2,2,0,8,12,16,21,26,29,33,37,45,49,54,58,62,67,2
1,0.394,2,2,0,15,25,35,42,52,60,67,74,87,96,104,113,121,129,2
1,-0.002,2,1,0,7,13,18,22,26,30,34,38,44,48,53,57,61,66,2
1,0.014,2,1,0,7,13,18,23,27,32,36,39,46,50,55,59,64,68,2
1,0.027,2,1,0,8,14,19,24,28,33,37,41,47,52,56,60,65,70,2
1,0.014,2,1,0,7,13,18,23,27,32,36,39,46,50,55,59,64,68,2
1,-0.27,1,1,0,0,0,1,1,1,2,2,3,6,7,8,9,10,11,2
1,-0.094,1,1,0,3,5,8,9,11,14,16,19,24,26,29,31,34,37,2
1,-0.045,2,2,0,4,6,10,12,15,17,19,23,29,32,35,38,41,44,2
1,-0.106,1,1,0,2,4,6,7,9,11,13,16,20,23,26,28,30,33,2
1,-0.069,1,1,0,2,4,7,9,11,14,16,19,24,27,30,32,35,38,2
1,0.068,3,2,0,12,20,28,36,42,47,52,56,62,67,73,78,84,89,2
1,0.043,3,2,0,9,16,23,29,35,39,42,46,51,57,61,66,71,76,2
1,0.006,3,2,0,11,18,26,34,39,44,47,51,56,61,66,71,76,81,2
1,0.125,3,2,0,12,22,30,39,45,51,56,61,67,73,79,86,92,97,2
1,0.106,3,2,0,10,17,23,29,36,40,45,49,55,61,66,72,77,82,2
1,0.845,5,4,0,21,36,50,64,77,89,100,112,125,137,150,163,175,188,2
1,0.157,3,2,0,13,23,31,39,47,52,57,62,69,76,83,89,95,102,2
1,-0.025,2,2,0,7,11,14,17,19,21,25,30,36,39,43,46,50,54,2
1,-0.242,1,1,0,0,0,1,1,2,3,3,5,8,9,10,11,12,13,2
1,-0.013,2,2,0,7,11,15,19,22,26,30,34,43,48,52,57,61,66,2
1,0.244,3,2,0,14,25,35,43,51,58,64,69,78,86,93,100,107,115,2
1,0.058,2,2,0,8,15,22,26,31,36,38,41,49,54,58,63,68,73,2
1,-0.007,2,2,0,7,12,16,19,23,28,32,35,44,48,53,57,62,67,2
1,-0.112,1,1,0,3,4,7,8,10,12,14,16,21,24,26,28,31,33,2
1,0.017,1,1,0,6,10,14,17,20,24,27,30,33,37,40,44,47,51,2
1,0.124,3,2,0,13,21,30,39,46,51,56,62,68,74,80,87,93,99,2
1,0.12,3,2,0,13,21,30,39,46,51,56,62,68,74,80,86,92,98,2
1,-0.018,1,1,0,6,9,13,16,19,22,25,28,31,34,38,41,44,47,2
1,-0.008,1,1,0,4,7,11,13,16,19,22,26,32,35,39,42,46,49,2
1,0.121,3,2,0,12,22,30,38,45,50,55,60,66,73,79,85,91,97,2
1,0.235,5,4,0,12,21,29,36,43,49,54,59,65,72,78,84,91,97,2
1,0.104,1,1,0,8,12,17,21,25,30,34,38,43,47,52,56,61,65,2
1,0.184,5,4,0,11,20,27,34,40,45,50,55,60,66,72,78,84,90,2
1,-0.127,1,1,0,2,4,6,8,9,11,13,16,20,22,25,27,29,31,2
1,0.198,3,2,0,14,23,33,42,50,56,62,68,75,81,88,95,102,109,2
1,0.118,3,2,0,10,16,22,28,33,38,42,47,54,59,64,69,75,80,2
1,0.058,2,2,0,8,13,17,22,26,31,36,40,47,52,57,62,67,72,2
1,-0.194,1,1,0,1,2,4,5,6,7,8,10,14,15,17,19,20,22,2
1,-0.198,1,1,0,1,2,3,4,4,6,6,8,12,14,15,17,18,20,2
1,0.002,2,2,0,8,12,16,19,23,27,31,35,46,51,56,61,66,70,2
1,-0.045,1,1,0,3,5,9,11,13,16,18,21,27,30,33,36,39,42,2
1,0.056,2,2,0,8,13,17,22,26,30,35,40,49,54,60,65,70,75,2
1,-0.017,2,2,0,9,14,18,21,25,29,33,36,42,46,50,55,59,64,2
1,-0.012,2,2,0,7,10,15,19,22,26,30,34,42,47,51,56,60,65,2
1,-0.041,2,2,0,7,11,14,19,23,26,30,33,43,47,52,56,61,66,2
1,0.092,3,2,0,10,16,23,29,35,39,43,48,54,59,64,69,74,79,2
1,0.057,2,2,0,8,13,17,22,26,31,36,40,47,52,57,62,67,72,2
1,0.141,2,2,0,10,16,21,26,32,37,42,48,55,61,66,72,77,83,2
1,0.056,2,2,0,8,13,17,22,26,30,35,40,49,54,60,65,70,75,2
1,0.064,2,2,0,9,16,22,26,32,37,39,42,51,56,61,66,70,75,2
1,0.067,2,2,0,9,16,22,27,32,37,39,42,52,57,62,67,72,77,2
1,0.073,2,2,0,9,16,23,27,33,37,40,43,53,58,63,68,73,78,2
1,0.081,2,2,0,9,16,23,28,34,39,41,44,55,59,65,70,75,80,2
1,0.093,2,2,0,10,17,24,28,35,40,43,46,57,62,67,72,77,83,2
1,0.11,2,2,0,10,18,25,30,37,43,46,49,61,66,72,77,82,88,2
1,0.134,2,2,0,11,19,26,31,38,44,48,51,63,69,75,81,87,93,2
1,0.164,2,2,0,11,19,27,32,40,46,50,54,67,73,79,85,92,98,2
1,0.202,2,2,0,12,19,27,33,41,48,53,57,70,77,83,89,96,102,2
1,0.247,2,2,0,12,20,29,35,43,51,56,61,74,81,88,94,101,108,2
1,0.294,2,2,0,13,21,30,36,46,54,59,65,78,86,93,100,108,116,2
1,0.337,2,2,0,14,23,31,38,48,56,63,69,82,90,98,106,113,121,2
1,0.366,2,2,0,14,24,32,40,50,58,65,72,84,93,101,109,117,125,2
1,0.372,2,2,0,15,24,33,41,50,59,65,72,85,93,101,110,118,126,2
1,0.06,2,2,0,9,15,22,25,30,34,36,39,48,52,57,61,66,70,2
1,0.039,2,2,0,9,15,21,25,29,33,35,37,46,50,54,59,63,68,2
1,0.038,2,2,0,8,15,21,25,29,34,35,38,46,51,55,59,64,68,2
1,0.039,2,2,0,8,15,21,25,30,34,37,39,48,52,57,61,66,71,2
1,0.043,2,2,0,9,15,21,25,31,35,38,40,50,54,59,64,68,72,2
1,0.049,2,2,0,9,15,22,26,31,36,39,42,51,56,61,65,70,75,2
1,0.059,2,2,0,9,15,22,26,32,37,40,43,53,58,63,67,72,77,2
1,0.075,2,2,0,9,16,23,27,33,39,42,45,55,61,66,70,75,81,2
1,0.097,2,2,0,10,17,24,28,35,41,44,47,58,64,69,74,80,85,2
1,0.127,2,2,0,11,18,25,30,37,43,47,50,62,68,73,79,85,90,2
1,0.167,2,2,0,11,19,26,31,39,46,50,54,66,72,78,84,90,96,2
1,0.214,2,2,0,12,20,28,34,42,49,53,58,70,77,84,90,97,103,2
1,0.266,2,2,0,13,22,30,36,45,52,57,63,75,82,90,97,104,111,2
1,0.315,2,2,0,14,23,32,38,47,55,61,67,80,88,95,103,111,118,2
1,0.347,2,2,0,14,24,33,40,49,57,63,70,83,91,99,107,115,122,2
1,0.353,2,2,0,14,25,34,41,50,58,64,70,84,92,100,108,116,123,2
1,0.332,2,2,0,14,24,34,40,49,56,62,68,82,90,98,105,113,120,2
1,0.295,2,2,0,14,24,33,39,47,54,59,65,79,86,94,101,108,116,2
1,0.256,2,2,0,13,23,32,37,45,52,56,62,75,82,90,97,104,111,2
1,0.221,2,2,0,13,22,30,36,43,49,53,58,72,79,86,93,100,106,2
1,0.193,2,2,0,12,20,28,33,41,47,51,56,69,76,82,89,95,102,2
1,0.175,2,2,0,12,19,26,31,39,46,50,55,67,74,80,86,93,99,2
1,0.163,2,2,0,12,19,26,31,39,45,50,54,67,73,79,86,92,98,2
1,0.066,2,2,0,9,15,22,25,30,33,36,39,47,51,56,60,65,69,2
1,0.057,2,2,0,9,15,21,25,29,33,35,39,47,51,56,61,65,69,2
